tab	samples
sample	site
PD013b1	PD013b
PD014d2	PD014d
PD033a3	PD033a
PD035a2	PD035a
PD037a4	PD037a
PD098a4	PD098a
PD105a3	PD105a
PD110a2	PD110a
PD115b3	PD115b
PD113e4	PD113e
PD120a1	PD120a
PD127a4	PD127a
PD128b2	PD128b
PD131a1	PD131a
PD136b2	PD136b
PD143b1	PD143b
PD150e1	PD150e
PD184c4	PD184c
PD189b3	PD189b
PD200c1	PD200c
PD321a2	PD321a
PD323a2	PD323a
PD327a9	PD327a
PD335a2	PD335a
PD336a1	PD336a
PD387a1	PD387a
PD400a3	PD400a
PD123a2	PD123a
PD049a2	PD049a
PD090a4	PD090a
PD243b3	PD243b
PD038a1	PD038a
PD034a3	PD034a
PD099a4	PD099a
PD099a3	PD099a
PD133a4	PD133a
PD328a1	PD328a
PD197a2	PD197a
PD152a2	PD152a
PD208a4	PD208a
PD142a2	PD142a
PD132a2	PD132a
PD320a6	PD320a
PD242a4	PD242a
PD398a3	PD398a
PD125b3	PD125b
PD135g2	PD135g
PD148d1	PD148d
PD111a3	PD111a
PD151a5	PD151a
PD138b2	PD138b
PD015c1	PD015c
PD248a2	PD248a
PD190a2	PD190a
PD195b1	PD195b
PD135a2	PD135a
PD149a5	PD149a
PD271a1	PD271a
PD206a1	PD206a
PD129a3	PD129a
PD308a3	PD308a
PD310a4	PD310a
PD130a2	PD130a
PD187a3	PD187a
PD012b4	PD012b
PD236a2	PD236a
PD244a7	PD244a
PD096a2	PD096a
PD194b1	PD194b
PD199a6	PD199a
PD212a3	PD212a
PD305a5	PD305a
PD202a2	PD202a
PD240a4	PD240a
PD036a1	PD036a
PD129a2	PD129a
