tab	specimens
specimen	sample
PD013b1	PD013b1
PD014d2	PD014d2
PD033a3	PD033a3
PD035a2	PD035a2
PD037a4	PD037a4
PD098a4	PD098a4
PD105a3	PD105a3
PD110a2	PD110a2
PD115b3	PD115b3
PD113e4	PD113e4
PD120a1	PD120a1
PD127a4	PD127a4
PD128b2	PD128b2
PD131a1	PD131a1
PD136b2	PD136b2
PD143b1	PD143b1
PD150e1	PD150e1
PD184c4	PD184c4
PD189b3	PD189b3
PD200c1	PD200c1
PD321a2	PD321a2
PD323a2	PD323a2
PD327a9	PD327a9
PD335a2	PD335a2
PD336a1	PD336a1
PD387a1	PD387a1
PD400a3	PD400a3
PD123a2	PD123a2
PD049a2	PD049a2
PD090a4	PD090a4
PD243b3	PD243b3
PD038a1	PD038a1
PD034a3	PD034a3
PD099a4	PD099a4
PD099a3	PD099a3
PD133a4	PD133a4
PD328a1	PD328a1
PD197a2	PD197a2
PD152a2	PD152a2
PD208a4	PD208a4
PD142a2	PD142a2
PD132a2	PD132a2
PD320a6	PD320a6
PD242a4	PD242a4
PD398a3	PD398a3
PD125b3	PD125b3
PD135g2	PD135g2
PD148d1	PD148d1
PD111a3	PD111a3
PD151a5	PD151a5
PD138b2	PD138b2
PD015c1	PD015c1
PD248a2	PD248a2
PD190a2	PD190a2
PD195b1	PD195b1
PD135a2	PD135a2
PD149a5	PD149a5
PD271a1	PD271a1
PD206a1	PD206a1
PD129a3	PD129a3
PD308a3	PD308a3
PD310a4	PD310a4
PD130a2	PD130a2
PD187a3	PD187a3
PD012b4	PD012b4
PD236a2	PD236a2
PD244a7	PD244a7
PD096a2	PD096a2
PD194b1	PD194b1
PD199a6	PD199a6
PD212a3	PD212a3
PD305a5	PD305a5
PD202a2	PD202a2
PD240a4	PD240a4
PD036a1	PD036a1
PD129a2	PD129a2
