tab 	samples
citations	sample	site
this study:10.1038/s41586-021-03831-6	PD013b1	PD013
this study:10.1038/s41586-021-03831-6	PD014d2	PD014
this study:10.1038/s41586-021-03831-6	PD033a3	PD033
this study:10.1038/s41586-021-03831-6	PD035a2	PD035
this study:10.1038/s41586-021-03831-6	PD037a4	PD037
this study:10.1038/s41586-021-03831-6	PD098a4	PD098
this study:10.1038/s41586-021-03831-6	PD105a3	PD105
this study:10.1038/s41586-021-03831-6	PD110a2	PD110
this study:10.1038/s41586-021-03831-6	PD115b3	PD115
this study:10.1038/s41586-021-03831-6	PD113e4	PD113
this study:10.1038/s41586-021-03831-6	PD120a1	PD120
this study:10.1038/s41586-021-03831-6	PD127a4	PD127
this study:10.1038/s41586-021-03831-6	PD128b2	PD128
this study:10.1038/s41586-021-03831-6	PD131a1	PD131
this study:10.1038/s41586-021-03831-6	PD136b2	PD136
this study:10.1038/s41586-021-03831-6	PD143b1	PD143
this study:10.1038/s41586-021-03831-6	PD150e1	PD150
this study:10.1038/s41586-021-03831-6	PD184c4	PD184
this study:10.1038/s41586-021-03831-6	PD189b3	PD189
this study:10.1038/s41586-021-03831-6	PD200c1	PD200
this study:10.1038/s41586-021-03831-6	PD321a2	PD321
this study:10.1038/s41586-021-03831-6	PD323a2	PD323
this study:10.1038/s41586-021-03831-6	PD327a9	PD327
this study:10.1038/s41586-021-03831-6	PD335a2	PD335
this study:10.1038/s41586-021-03831-6	PD336a1	PD336
this study:10.1038/s41586-021-03831-6	PD387a1	PD387
this study:10.1038/s41586-021-03831-6	PD400a3	PD400
this study:10.1038/s41586-021-03831-6	PD123a2	PD123
this study:10.1038/s41586-021-03831-6	PD049a2	PD049
this study:10.1038/s41586-021-03831-6	PD090a4	PD090
this study:10.1038/s41586-021-03831-6	PD243b3	PD243
this study:10.1038/s41586-021-03831-6	PD038a1	PD038
this study:10.1038/s41586-021-03831-6	PD034a3	PD034
this study:10.1038/s41586-021-03831-6	PD099a4	PD099
this study:10.1038/s41586-021-03831-6	PD099a3	PD099
this study:10.1038/s41586-021-03831-6	PD133a4	PD133
this study:10.1038/s41586-021-03831-6	PD328a1	PD328
this study:10.1038/s41586-021-03831-6	PD197a2	PD197
this study:10.1038/s41586-021-03831-6	PD152a2	PD152
this study:10.1038/s41586-021-03831-6	PD208a4	PD208
this study:10.1038/s41586-021-03831-6	PD142a2	PD142
this study:10.1038/s41586-021-03831-6	PD132a2	PD132
this study:10.1038/s41586-021-03831-6	PD320a6	PD320
this study:10.1038/s41586-021-03831-6	PD242a4	PD242
this study:10.1038/s41586-021-03831-6	PD398a3	PD398
this study:10.1038/s41586-021-03831-6	PD125b3	PD125
this study:10.1038/s41586-021-03831-6	PD135g2	PD135
this study:10.1038/s41586-021-03831-6	PD148d1	PD148
this study:10.1038/s41586-021-03831-6	PD111a3	PD111
this study:10.1038/s41586-021-03831-6	PD151a5	PD151
this study:10.1038/s41586-021-03831-6	PD138b2	PD138
this study:10.1038/s41586-021-03831-6	PD015c1	PD015
this study:10.1038/s41586-021-03831-6	PD248a2	PD248
this study:10.1038/s41586-021-03831-6	PD190a2	PD190
this study:10.1038/s41586-021-03831-6	PD195b1	PD195
this study:10.1038/s41586-021-03831-6	PD135a2	PD135
this study:10.1038/s41586-021-03831-6	PD149a5	PD149
this study:10.1038/s41586-021-03831-6	PD271a1	PD271
this study:10.1038/s41586-021-03831-6	PD206a1	PD206
this study:10.1038/s41586-021-03831-6	PD129a3	PD129
this study:10.1038/s41586-021-03831-6	PD308a3	PD308
this study:10.1038/s41586-021-03831-6	PD310a4	PD310
this study:10.1038/s41586-021-03831-6	PD130a2	PD130
this study:10.1038/s41586-021-03831-6	PD187a3	PD187
this study:10.1038/s41586-021-03831-6	PD012b4	PD012
this study:10.1038/s41586-021-03831-6	PD236a2	PD236
this study:10.1038/s41586-021-03831-6	PD244a7	PD244
this study:10.1038/s41586-021-03831-6	PD096a2	PD096
this study:10.1038/s41586-021-03831-6	PD194b1	PD194
this study:10.1038/s41586-021-03831-6	PD199a6	PD199
this study:10.1038/s41586-021-03831-6	PD212a3	PD212
this study:10.1038/s41586-021-03831-6	PD305a5	PD305
this study:10.1038/s41586-021-03831-6	PD202a2	PD202
this study:10.1038/s41586-021-03831-6	PD240a4	PD240
this study:10.1038/s41586-021-03831-6	PD036a1	PD036
this study:10.1038/s41586-021-03831-6	PD129a2	PD129
