tab 	sites
citations	lat	location	lon	site
this study:10.1038/s41586-021-03831-6				PD013
this study:10.1038/s41586-021-03831-6				PD014
this study:10.1038/s41586-021-03831-6				PD033
this study:10.1038/s41586-021-03831-6				PD035
this study:10.1038/s41586-021-03831-6				PD037
this study:10.1038/s41586-021-03831-6				PD098
this study:10.1038/s41586-021-03831-6				PD105
this study:10.1038/s41586-021-03831-6				PD110
this study:10.1038/s41586-021-03831-6				PD115
this study:10.1038/s41586-021-03831-6				PD113
this study:10.1038/s41586-021-03831-6				PD120
this study:10.1038/s41586-021-03831-6				PD127
this study:10.1038/s41586-021-03831-6				PD128
this study:10.1038/s41586-021-03831-6				PD131
this study:10.1038/s41586-021-03831-6				PD136
this study:10.1038/s41586-021-03831-6				PD143
this study:10.1038/s41586-021-03831-6				PD150
this study:10.1038/s41586-021-03831-6				PD184
this study:10.1038/s41586-021-03831-6				PD189
this study:10.1038/s41586-021-03831-6				PD200
this study:10.1038/s41586-021-03831-6				PD321
this study:10.1038/s41586-021-03831-6				PD323
this study:10.1038/s41586-021-03831-6				PD327
this study:10.1038/s41586-021-03831-6				PD335
this study:10.1038/s41586-021-03831-6				PD336
this study:10.1038/s41586-021-03831-6				PD387
this study:10.1038/s41586-021-03831-6				PD400
this study:10.1038/s41586-021-03831-6				PD123
this study:10.1038/s41586-021-03831-6				PD049
this study:10.1038/s41586-021-03831-6				PD090
this study:10.1038/s41586-021-03831-6				PD243
this study:10.1038/s41586-021-03831-6				PD038
this study:10.1038/s41586-021-03831-6				PD034
this study:10.1038/s41586-021-03831-6				PD099
this study:10.1038/s41586-021-03831-6				PD133
this study:10.1038/s41586-021-03831-6				PD328
this study:10.1038/s41586-021-03831-6				PD197
this study:10.1038/s41586-021-03831-6				PD152
this study:10.1038/s41586-021-03831-6				PD208
this study:10.1038/s41586-021-03831-6				PD142
this study:10.1038/s41586-021-03831-6				PD132
this study:10.1038/s41586-021-03831-6				PD320
this study:10.1038/s41586-021-03831-6				PD242
this study:10.1038/s41586-021-03831-6				PD398
this study:10.1038/s41586-021-03831-6				PD125
this study:10.1038/s41586-021-03831-6				PD135
this study:10.1038/s41586-021-03831-6				PD148
this study:10.1038/s41586-021-03831-6				PD111
this study:10.1038/s41586-021-03831-6				PD151
this study:10.1038/s41586-021-03831-6				PD138
this study:10.1038/s41586-021-03831-6				PD015
this study:10.1038/s41586-021-03831-6				PD248
this study:10.1038/s41586-021-03831-6				PD190
this study:10.1038/s41586-021-03831-6				PD195
this study:10.1038/s41586-021-03831-6				PD135
this study:10.1038/s41586-021-03831-6				PD149
this study:10.1038/s41586-021-03831-6				PD271
this study:10.1038/s41586-021-03831-6				PD206
this study:10.1038/s41586-021-03831-6				PD129
this study:10.1038/s41586-021-03831-6				PD308
this study:10.1038/s41586-021-03831-6				PD310
this study:10.1038/s41586-021-03831-6				PD130
this study:10.1038/s41586-021-03831-6				PD187
this study:10.1038/s41586-021-03831-6				PD012
this study:10.1038/s41586-021-03831-6				PD236
this study:10.1038/s41586-021-03831-6				PD244
this study:10.1038/s41586-021-03831-6				PD096
this study:10.1038/s41586-021-03831-6				PD194
this study:10.1038/s41586-021-03831-6				PD199
this study:10.1038/s41586-021-03831-6				PD212
this study:10.1038/s41586-021-03831-6				PD305
this study:10.1038/s41586-021-03831-6				PD202
this study:10.1038/s41586-021-03831-6				PD240
this study:10.1038/s41586-021-03831-6				PD036
