tab 	specimens
citations	dir_comp	dir_dec	dir_inc	dir_n_comps	meas_step_max	meas_step_min	meas_step_unit	method_codes	sample	specimen
this study:10.1038/s41586-021-03831-6									PD013b1	PD013b1
this study:10.1038/s41586-021-03831-6									PD014d2	PD014d2
this study:10.1038/s41586-021-03831-6									PD033a3	PD033a3
this study:10.1038/s41586-021-03831-6									PD035a2	PD035a2
this study:10.1038/s41586-021-03831-6									PD037a4	PD037a4
this study:10.1038/s41586-021-03831-6									PD098a4	PD098a4
this study:10.1038/s41586-021-03831-6									PD105a3	PD105a3
this study:10.1038/s41586-021-03831-6									PD110a2	PD110a2
this study:10.1038/s41586-021-03831-6									PD115b3	PD115b3
this study:10.1038/s41586-021-03831-6									PD113e4	PD113e4
this study:10.1038/s41586-021-03831-6									PD120a1	PD120a1
this study:10.1038/s41586-021-03831-6									PD127a4	PD127a4
this study:10.1038/s41586-021-03831-6									PD128b2	PD128b2
this study:10.1038/s41586-021-03831-6									PD131a1	PD131a1
this study:10.1038/s41586-021-03831-6									PD136b2	PD136b2
this study:10.1038/s41586-021-03831-6									PD143b1	PD143b1
this study:10.1038/s41586-021-03831-6									PD150e1	PD150e1
this study:10.1038/s41586-021-03831-6									PD184c4	PD184c4
this study:10.1038/s41586-021-03831-6									PD189b3	PD189b3
this study:10.1038/s41586-021-03831-6									PD200c1	PD200c1
this study:10.1038/s41586-021-03831-6									PD321a2	PD321a2
this study:10.1038/s41586-021-03831-6									PD323a2	PD323a2
this study:10.1038/s41586-021-03831-6									PD327a9	PD327a9
this study:10.1038/s41586-021-03831-6									PD335a2	PD335a2
this study:10.1038/s41586-021-03831-6									PD336a1	PD336a1
this study:10.1038/s41586-021-03831-6									PD387a1	PD387a1
this study:10.1038/s41586-021-03831-6									PD400a3	PD400a3
this study:10.1038/s41586-021-03831-6									PD123a2	PD123a2
this study:10.1038/s41586-021-03831-6									PD049a2	PD049a2
this study:10.1038/s41586-021-03831-6									PD090a4	PD090a4
this study:10.1038/s41586-021-03831-6									PD243b3	PD243b3
this study:10.1038/s41586-021-03831-6									PD038a1	PD038a1
this study:10.1038/s41586-021-03831-6									PD034a3	PD034a3
this study:10.1038/s41586-021-03831-6									PD099a4	PD099a4
this study:10.1038/s41586-021-03831-6									PD099a3	PD099a3
this study:10.1038/s41586-021-03831-6									PD133a4	PD133a4
this study:10.1038/s41586-021-03831-6									PD328a1	PD328a1
this study:10.1038/s41586-021-03831-6									PD197a2	PD197a2
this study:10.1038/s41586-021-03831-6									PD152a2	PD152a2
this study:10.1038/s41586-021-03831-6									PD208a4	PD208a4
this study:10.1038/s41586-021-03831-6									PD142a2	PD142a2
this study:10.1038/s41586-021-03831-6									PD132a2	PD132a2
this study:10.1038/s41586-021-03831-6									PD320a6	PD320a6
this study:10.1038/s41586-021-03831-6									PD242a4	PD242a4
