tab 	samples
azimuth	citations	criteria	description	dip	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	lon	method_codes	orientation_quality	result_quality	sample	site	specimens
-19	This study			-45									Igneous	Lava Flow	35.3432	Basalt	248.2524	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv01a	sv01	
	This study		sample direction.		348.4	-34.7	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:LP-DIR-AF			sv01a	sv01	sv01a1
-51	This study			-23									Igneous	Lava Flow	35.3432	Basalt	248.2524	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv01b	sv01	
	This study		sample direction.		122.7	25.5	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:LP-DIR-AF			sv01b	sv01	sv01b1
284	This study			-51									Igneous	Lava Flow	35.3432	Basalt	248.2524	FS-FD:SO-POM:SO-MAG	g		sv01c	sv01	
51	This study			-35									Igneous	Lava Flow	35.3432	Basalt	248.2524	FS-FD:SO-POM:SO-MAG	g		sv01d	sv01	
328	This study			-57									Igneous	Lava Flow	35.3432	Basalt	248.2524	FS-FD:SO-POM:SO-MAG	g		sv01e	sv01	
150	This study			-6									Igneous	Lava Flow	35.3432	Basalt	248.2524	FS-FD:SO-POM:SO-MAG	g		sv01f	sv01	
87	This study			-8									Igneous	Lava Flow	35.3432	Basalt	248.2524	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv01g	sv01	
	This study		sample direction.		162.4	36.6	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:LP-DIR-AF			sv01g	sv01	sv01g1
279	This study			-24									Igneous	Lava Flow	35.3432	Basalt	248.2524	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv01h	sv01	
	This study		sample direction.		190.4	34.6	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:LP-DIR-AF			sv01h	sv01	sv01h1
325	This study			-56									Igneous	Lava Flow	35.3432	Basalt	248.2524	FS-FD:SO-POM:SO-MAG	g		sv01i	sv01	
271	This study			-49									Igneous	Lava Flow	35.3432	Basalt	248.2524	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv01j	sv01	
	This study		sample direction.		133.4	21.9	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:LP-DIR-AF			sv01j	sv01	sv01j1
310	This study			-45									Igneous	Lava Flow	35.3432	Basalt	248.2524	FS-FD:SO-POM:SO-MAG	g		sv01k	sv01	
332	This study			-60									Igneous	Lava Flow	35.3432	Basalt	248.2524	FS-FD:SO-POM:SO-MAG	g		sv01l	sv01	
81.3	This study			-50									Igneous	Lava Flow	35.3734	Basalt	248.2661	FS-FD:SO-POM:SO-SUN	g		sv02a	sv02	
	This study	DE-SPEC	sample direction.		330.3	30.4	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF			sv02a	sv02	sv02a1
96.3	This study			-47									Igneous	Lava Flow	35.3734	Basalt	248.2661	FS-FD:SO-POM:SO-SUN	g		sv02b	sv02	
	This study		sample direction.		225.7	37	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-SUN:LP-DIR-AF			sv02b	sv02	sv02b1
40	This study			-43.5									Igneous	Lava Flow	35.3734	Basalt	248.2661	FS-FD:SO-POM:SO-SUN	g		sv02c	sv02	
