tab 	sites
age	age_sigma	age_unit	citations	conglomerate_test	contact_test	criteria	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.3432	Basalt	San Francisco Volcanics	248.2524	FS-LOC-GPS:SO-SM:FS-FD			sv01						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	6.6	179	-54.3	286	5	0	5		r	4.9948	0					San Francisco Volcanics		DE-FM-LP:DE-BFL:LP-DC5			sv01	sv01b1 : sv01g1 : sv01h1 : sv01j1:sv01a1					
0.75	0.17	Ma	This study																Igneous	Lava Flow	35.3734	Basalt	San Francisco Volcanics	248.2661	FS-LOC-GPS:SO-SM:FS-FD			sv02						
0.75	0.17	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	6.6	338.8	38.6	113.4	6	4	2			5.9647	0					San Francisco Volcanics		DE-FM-LP:DE-BFL:LP-DC5			sv02	sv02b1 : sv02c1 : sv02d1 : sv02e1 : sv02k1:sv02a1					
0.75	0.17	Ma	This study	ND	ND	DE-SITE	VGP: Site sv02, Site VGP.	6.6	338.8	38.6	113.4	6					5.9647	0			35.3734		San Francisco Volcanics	248.2661	DE-DI:DE-FM:DE-BFL:LP-DC5		i	sv02	sv02b1 : sv02c1 : sv02d1 : sv02e1 : sv02k1:sv02a1	6.9	6.6	67	127.6	6
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.375	Basalt	San Francisco Volcanics	248.269	FS-LOC-GPS:SO-SM:FS-FD			sv03						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	5.5	344	53.1	108	8	5	3			7.9491	0					San Francisco Volcanics		DE-FM-LP:DE-BFL:LP-DC5			sv03	sv03b1 : sv03d1 : sv03e1 : sv03g1 : sv03h1 : sv03i1 : sv03j1:sv03a1					
2.5	2.5	Ma	This study	ND	ND	DE-SITE	VGP: Site sv03, Site VGP.	5.5	344	53.1	108	8					7.9491	0			35.375		San Francisco Volcanics	248.269	DE-DI:DE-FM:DE-BFL:LP-DC5		i	sv03	sv03b1 : sv03d1 : sv03e1 : sv03g1 : sv03h1 : sv03i1 : sv03j1:sv03a1	7.5	5.5	76.7	155.5	8
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.39	Basalt	San Francisco Volcanics	248.26	FS-LOC-GPS:SO-SM:FS-FD			sv04						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	4.5	346.9	50.7	285.8	5	5	0			4.986	0					San Francisco Volcanics		DE-FM:DE-BFL:LP-DC5			sv04	sv04b1 : sv04d1 : sv04e1 : sv04i1:sv04a1					
2.5	2.5	Ma	This study	ND	ND	DE-SITE	VGP: Site sv04, Site VGP.	4.5	346.9	50.7	285.8	5					4.986	0			35.39		San Francisco Volcanics	248.26	DE-DI:DE-FM:DE-BFL:LP-DC5		i	sv04	sv04b1 : sv04d1 : sv04e1 : sv04i1:sv04a1	5.8	4.5	78.4	142	5
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.184	Basalt	San Francisco Volcanics	247.808	FS-LOC-GPS:SO-SM:FS-FD			sv05						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	4.5	164.1	-51.3	165.2	8	5	3		r	7.9667	0					San Francisco Volcanics		DE-FM-LP:DE-BFL:LP-DC5			sv05	sv05b1 : sv05c1 : sv05d2 : sv05f1 : sv05h1 : sv05i1 : sv05j1:sv05a2					
2.5	2.5	Ma	This study	ND	ND	DE-SITE	VGP: Site sv05, Site VGP.	4.5	164.1	-51.3	165.2	8					7.9667	0			35.184		San Francisco Volcanics	247.808	DE-DI:DE-FM:DE-BFL:LP-DC5		i	sv05	sv05b1 : sv05c1 : sv05d2 : sv05f1 : sv05h1 : sv05i1 : sv05j1:sv05a2	5.9	4.5	-76.4	328.7	8
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.192	Basalt	San Francisco Volcanics	247.807	FS-LOC-GPS:SO-SM:FS-FD			sv06						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	9.7	351.4	-32	80.8	5	2	3			4.9691	0					San Francisco Volcanics		DE-FM-LP:DE-BFL:LP-DC5			sv06	sv06c3 : sv06f1 : sv06g1 : sv06h1:sv06a1					
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.194	Basalt	San Francisco Volcanics	247.807	FS-LOC-GPS:SO-SM:FS-FD			sv07						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	3.1	350.3	61.8	318	8	7	1			7.9796	0					San Francisco Volcanics		DE-FM-LP:DE-BFL:LP-DC5			sv07	sv07b1 : sv07c1 : sv07d1 : sv07f2 : sv07g1 : sv07i1 : sv07j1:sv07a1					
