tab 	specimens
citations	description	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	specimen
This study	Recalculated from original measurements; supercedes published results.	348.4	-34.7	5.1	12			0	LP-DIR-AF:sv01a1	Igneous	Lava Flow		Basalt	0.14	0.005	T	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-AF		sv01a	sv01a1
This study	Recalculated from original measurements; supercedes published results.	122.7	25.5	3.8	15			0	LP-DIR-AF:sv01b1	Igneous	Lava Flow		Basalt	0.18	0	T	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-AF		sv01b	sv01b1
This study	Recalculated from original measurements; supercedes published results.	162.4	36.6	3	13			0	LP-DIR-AF:sv01g1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-AF		sv01g	sv01g1
This study										Igneous	Lava Flow		Basalt						sv01g	sv01g2
This study	Recalculated from original measurements; supercedes published results.	190.4	34.6	5	13			0	LP-DIR-AF:sv01h1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-AF		sv01h	sv01h1
This study	Recalculated from original measurements; supercedes published results.	133.4	21.9	5.4	8			0	LP-DIR-AF:sv01j1	Igneous	Lava Flow		Basalt	0.18	0.06	T	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-AF		sv01j	sv01j1
This study										Igneous	Lava Flow		Basalt						sv01j	sv01j2
This study	Recalculated from original measurements; supercedes published results.	330.3	30.4	2.5	6			0	LP-DIR-AF:sv02a1	Igneous	Lava Flow		Basalt	0.18	0.08	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv02a	sv02a1
This study	Recalculated from original measurements; supercedes published results.	225.7	37	3.7	14			0	LP-DIR-AF:sv02b1	Igneous	Lava Flow		Basalt	0.18	0	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv02b	sv02b1
This study										Igneous	Lava Flow		Basalt						sv02b	sv02b2
This study	Recalculated from original measurements; supercedes published results.	103.1	32.3	3.8	11			0	LP-DIR-AF:sv02c1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFP:SO-SUN:DE-BFP:LP-DIR-AF		sv02c	sv02c1
This study	Recalculated from original measurements; supercedes published results.	338.6	44.5	1.3	11			0	LP-DIR-AF:sv02d1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv02d	sv02d1
This study	Recalculated from original measurements; supercedes published results.	340.6	42.4	0.9	10			0	LP-DIR-AF:sv02e1	Igneous	Lava Flow		Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv02e	sv02e1
This study	Recalculated from original measurements; supercedes published results.	337.7	40.3	2.6	12			0	LP-DIR-AF:sv02k1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv02k	sv02k1
This study										Igneous	Lava Flow		Basalt						sv02k	sv02k3
This study	Recalculated from original measurements; supercedes published results.	344.6	52.1	1.3	4			0	LP-DIR-AF:sv03a1	Igneous	Lava Flow		Basalt	0.15	0.08	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv03a	sv03a1
This study	Recalculated from original measurements; supercedes published results.	39.5	-24.5	3.8	6			0	LP-DIR-AF:sv03b1	Igneous	Lava Flow		Basalt	0.18	0.08	T	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-AF		sv03b	sv03b1
This study										Igneous	Lava Flow		Basalt						sv03b	sv03b2
This study	Recalculated from original measurements; supercedes published results.	3.9	-33.5	4.6	11			0	LP-DIR-AF:sv03d1	Igneous	Lava Flow		Basalt	0.18	0	T	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-AF		sv03d	sv03d1
This study	Recalculated from original measurements; supercedes published results.	8.8	-33.8	2.1	13			0	LP-DIR-AF:sv03e1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-AF		sv03e	sv03e1
This study	Recalculated from original measurements; supercedes published results.	352.8	52.2	0.9	7			0	LP-DIR-AF:sv03g1	Igneous	Lava Flow		Basalt	0.18	0.07	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv03g	sv03g1
This study	Recalculated from original measurements; supercedes published results.	349.1	55.5	0.9	8			0	LP-DIR-AF:sv03h1	Igneous	Lava Flow		Basalt	0.18	0.06	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv03h	sv03h1
This study										Igneous	Lava Flow		Basalt						sv03h	sv03h2
This study	Recalculated from original measurements; supercedes published results.	353.2	57.3	0.7	8			0	LP-DIR-AF:sv03i1	Igneous	Lava Flow		Basalt	0.18	0.06	T	DA-DIR-GEO:DE-BFL:SO-SUN:DE-BFL:LP-DIR-AF		sv03i	sv03i1
This study	Recalculated from original measurements; supercedes published results.	324.1	44.6	1.9	8			0	LP-DIR-AF:sv03j1	Igneous	Lava Flow		Basalt	0.18	0.06	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv03j	sv03j1
This study	Recalculated from original measurements; supercedes published results.	348.3	50.2	1.5	12			0	LP-DIR-AF:sv04a1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv04a	sv04a1
This study	Recalculated from original measurements; supercedes published results.	353	46.6	1.3	12			0	LP-DIR-AF:sv04b1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv04b	sv04b1
This study										Igneous	Lava Flow		Basalt						sv04c	sv04c1
This study										Igneous	Lava Flow		Basalt						sv04c	sv04c2
This study	Recalculated from original measurements; supercedes published results.	342.6	48.7	2.6	9			0	LP-DIR-AF:sv04d1	Igneous	Lava Flow		Basalt	0.18	0.05	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv04d	sv04d1
This study	Recalculated from original measurements; supercedes published results.	342.2	56.9	1.2	11			0	LP-DIR-AF:sv04e1	Igneous	Lava Flow		Basalt	0.18	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv04e	sv04e1
This study										Igneous	Lava Flow		Basalt						sv04f	sv04f1
