tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
brendan	this study:10.1029/2018GC007946		0.4	312.8	0.3	Cr405g-czb_LP-PI-TRM_LP-PI-ZI		3.814e-07	3.0	273.0	Cr405g-czb_LP-PI-TRM_LP-PI-ZI-1	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ZI	g	1	pmagpy-4.2.100	cr405g-czb	u	2022-04-07T19:00:00Z	0	3e-05	0.0	-90.0	0	873.0
brendan	this study:10.1029/2018GC007946		0.6	334.2	0.1	Cr405g-czb_LP-PI-TRM_LP-PI-ZI		3.5e-07	3.0	273.0	Cr405g-czb_LP-PI-TRM_LP-PI-ZI-2	LT-NO:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ZI	g	2	pmagpy-4.2.100	cr405g-czb	u	2022-04-13T09:42:00Z	0	0.0	0.0	0.0	1	273.0
brendan	this study:10.1029/2018GC007946		0.3	334.2	0.1	Cr405g-czb_LP-PI-TRM_LP-PI-ZI		3.387e-07	3.0	273.0	Cr405g-czb_LP-PI-TRM_LP-PI-ZI-3	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ZI	g	3	pmagpy-4.2.100	cr405g-czb	u	2022-04-13T11:58:00Z	0	0.0	0.0	0.0	2	373.0
brendan	this study:10.1029/2018GC007946		0.6	333.6	0.2	Cr405g-czb_LP-PI-TRM_LP-PI-ZI		3.235e-07	3.0	273.0	Cr405g-czb_LP-PI-TRM_LP-PI-ZI-4	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ZI	g	4	pmagpy-4.2.100	cr405g-czb	u	2022-04-13T17:16:00Z	0	0.0	0.0	0.0	3	473.0
brendan	this study:10.1029/2018GC007946		0.8	330.1	0.1	Cr405g-czb_LP-PI-TRM_LP-PI-ZI		3.036e-07	3.0	273.0	Cr405g-czb_LP-PI-TRM_LP-PI-ZI-5	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ZI	g	5	pmagpy-4.2.100	cr405g-czb	u	2022-04-15T14:48:00Z	0	0.0	0.0	0.0	4	573.0
brendan	this study:10.1029/2018GC007946		0.8	329.7	0.2	Cr405g-czb_LP-PI-TRM_LP-PI-ZI		2.946e-07	3.0	273.0	Cr405g-czb_LP-PI-TRM_LP-PI-ZI-6	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ZI	g	6	pmagpy-4.2.100	cr405g-czb	u	2022-04-15T17:17:00Z	0	0.0	0.0	0.0	5	623.0
brendan	this study:10.1029/2018GC007946		0.6	327.8	-0.1	Cr405g-czb_LP-PI-TRM_LP-PI-ZI		2.766e-07	3.0	273.0	Cr405g-czb_LP-PI-TRM_LP-PI-ZI-7	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ZI	g	7	pmagpy-4.2.100	cr405g-czb	u	2022-04-19T12:39:00Z	0	0.0	0.0	0.0	6	673.0
brendan	this study:10.1029/2018GC007946		0.4	326.5	-0.0	Cr405g-czb_LP-PI-TRM_LP-PI-ZI		2.669e-07	3.0	273.0	Cr405g-czb_LP-PI-TRM_LP-PI-ZI-8	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ZI	g	8	pmagpy-4.2.100	cr405g-czb	u	2022-04-19T15:11:00Z	0	0.0	0.0	0.0	7	698.0
brendan	this study:10.1029/2018GC007946		0.5	324.1	-0.3	Cr405g-czb_LP-PI-TRM_LP-PI-ZI		2.533e-07	3.0	273.0	Cr405g-czb_LP-PI-TRM_LP-PI-ZI-9	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ZI	g	9	pmagpy-4.2.100	cr405g-czb	u	2022-04-19T17:23:00Z	0	0.0	0.0	0.0	8	723.0
brendan	this study:10.1029/2018GC007946		0.6	322.5	-0.1	Cr405g-czb_LP-PI-TRM_LP-PI-ZI		2.483e-07	3.0	273.0	Cr405g-czb_LP-PI-TRM_LP-PI-ZI-10	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ZI	g	10	pmagpy-4.2.100	cr405g-czb	u	2022-04-19T19:23:00Z	0	0.0	0.0	0.0	9	733.0
