tab 	samples
citations	sample	site
this study:10.1029/2018GC007946	hw226a	hw226
this study:10.1029/2018GC007946	mc109d	mc109
this study:10.1029/2018GC007946	mc109e	mc109
this study:10.1029/2018GC007946	mc111d	mc111
this study:10.1029/2018GC007946	mc111e	mc111
this study:10.1029/2018GC007946	mc120b	mc120
this study:10.1029/2018GC007946	mc120c	mc120
this study:10.1029/2018GC007946	mc167d	mc167
this study:10.1029/2018GC007946	mc117a	mc117
this study:10.1029/2018GC007946	mc117b	mc117
this study:10.1029/2018GC007946	mc117d	mc117
this study:10.1029/2018GC007946	mc117e	mc117
this study:10.1029/2018GC007946	jm009c	jm009
this study:10.1029/2018GC007946	jm009d	jm009
this study:10.1029/2018GC007946	jm009f	jm009
this study:10.1029/2018GC007946	jm009i	jm009
this study:10.1029/2018GC007946	cr405g	cr405
this study:10.1029/2018GC007946	jm011d	jm011
this study:10.1029/2018GC007946	cr418f	cr418
this study:10.1029/2018GC007946	cr423c	cr423
this study:10.1029/2018GC007946	sc02e	sc02
this study:10.1029/2018GC007946	sc03f	sc03
this study:10.1029/2018GC007946	sc03h	sc03
this study:10.1029/2018GC007946	sc06d	sc06
