tab 	specimens
citations	dir_comp	dir_dec	dir_inc	dir_n_comps	meas_step_max	meas_step_min	meas_step_unit	method_codes	sample	specimen
this study:10.1029/2018GC007946									hw226a	hw226a-szb
this study:10.1029/2018GC007946									mc109d	mc109d-szb
this study:10.1029/2018GC007946									mc109e	mc109e-szb
this study:10.1029/2018GC007946									mc111d	mc111d-szb
this study:10.1029/2018GC007946									mc111e	mc111e-szb
this study:10.1029/2018GC007946									mc120b	mc120b-szb
this study:10.1029/2018GC007946									mc120c	mc120c-szb
this study:10.1029/2018GC007946									mc167d	mc167d-szb
this study:10.1029/2018GC007946									mc117a	mc117a-szb
this study:10.1029/2018GC007946									mc117b	mc117b-szb
this study:10.1029/2018GC007946									mc117d	mc117d-szb
this study:10.1029/2018GC007946									mc117e	mc117e-szb
this study:10.1029/2018GC007946									jm009c	jm009c-czb
this study:10.1029/2018GC007946									jm009d	jm009d-czb
this study:10.1029/2018GC007946									jm009f	jm009f-czb
this study:10.1029/2018GC007946									jm009i	jm009i-czb
this study:10.1029/2018GC007946									cr405g	cr405g-czb
this study:10.1029/2018GC007946									jm011d	jm011d-czb
this study:10.1029/2018GC007946									cr418f	cr418f-czb
this study:10.1029/2018GC007946									cr423c	cr423c-czb
this study:10.1029/2018GC007946									sc02e	sc02e-czb
this study:10.1029/2018GC007946									sc03f	sc03f-czb
this study:10.1029/2018GC007946									sc03h	sc03h-czb
this study:10.1029/2018GC007946									sc06d	sc06d-czb
this study:10.1029/2018GC007946	Fit 2	358.8801574707031	0.4635828733444214	2.0	754.1881188118812	273.0	K	LP-DIR-T:DE-TROUT	cr405g	cr405g-czb
this study:10.1029/2018GC007946	Fit 1	313.1215209960937	0.696381688117981	2.0	872.9399939993999	794.2721272127212	K	LP-DIR-T:DE-TROUT	cr405g	cr405g-czb
this study:10.1029/2018GC007946	Fit 2	352.7411499023437	-1.3615068197250366	2.0	759.5886588658866	297.18241824182417	K	LP-DIR-T:DE-TROUT	cr418f	cr418f-czb
